step,loss,acc,tps
0,4.389023780822754,0.0,8903.075351558049
50,4.243350028991699,0.03125,16083.676600868179
100,4.314664840698242,0.0,15565.675944923041
150,4.310925483703613,0.0,16043.228921148251
200,4.165526390075684,0.0625,15974.830272641952
250,4.257470607757568,0.0,15712.982203815185
300,4.323526382446289,0.0,15859.376322202486
350,4.112210750579834,0.03125,15443.466126263784
400,4.063289642333984,0.125,15866.223655045173
450,4.16324520111084,0.03125,15427.386052833896
500,4.217061519622803,0.0,14897.742200004639
550,4.238260269165039,0.0,15467.060831882292
600,4.174118995666504,0.0,15809.572915608043
650,4.216943740844727,0.03125,15663.735539982963
700,4.184964656829834,0.0,15601.672668634263
750,4.132312297821045,0.0,15863.308238871015
800,4.209040641784668,0.03125,15330.49627252052
850,4.193803310394287,0.03125,15653.381232237381
900,4.257594108581543,0.0,15674.489672997315
950,4.245377540588379,0.0,15822.655626454763
1000,4.238246917724609,0.0,15451.737621387947
1050,4.305441379547119,0.0,15590.487614272164
1100,4.186147212982178,0.0,15708.463715858705
1150,4.114252090454102,0.0,15202.877867660503
1200,4.242759704589844,0.0,15757.486609361431
1250,4.251494407653809,0.0,16093.017628482754
1300,4.184561729431152,0.0,15515.700218304053
1350,4.258781433105469,0.0,15476.256807353979
1400,4.187022686004639,0.03125,16182.385377198387
1450,4.135719299316406,0.0,15145.00057973966
1500,4.1738786697387695,0.0,15784.494646970603
1550,4.1165289878845215,0.0625,15290.027895654286
1600,4.131867408752441,0.03125,15371.15192877845
1650,4.235258102416992,0.03125,15435.120276223572
1700,4.16586446762085,0.0625,15994.551411378601
1750,4.206121444702148,0.03125,15226.896423226388
1800,4.187094688415527,0.0,15837.22712296458
1850,4.203190803527832,0.03125,15988.619543002676
1900,4.196744441986084,0.03125,16342.890950559004
1950,4.173205375671387,0.0,16040.944523478649
2000,4.160952091217041,0.03125,15986.082910457308
2050,4.174911975860596,0.0,15349.288519962422
2100,4.232247829437256,0.0,15344.373710065383
2150,4.165971755981445,0.0,15632.557157787955
2200,4.162559986114502,0.0,15832.235662400906
2250,4.162430286407471,0.03125,15296.174411516615
2300,4.168577671051025,0.0,15867.733060203638
2350,4.176290988922119,0.0,15664.049737120244
2400,4.223870754241943,0.03125,15223.927896658115
2450,4.169588565826416,0.0,12490.711303855183
2500,4.1266608238220215,0.0,15745.232887186676
2550,4.188248157501221,0.03125,15607.349199154043
2600,4.216758728027344,0.0,15501.82601544654
2650,4.160867214202881,0.0,16297.10245217684
2700,4.188410758972168,0.03125,15296.296983662889
2750,4.20059061050415,0.0,15763.617009544567
2800,4.18582820892334,0.0,16212.33185609938
2850,4.157601833343506,0.0,15603.592730449727
2900,4.181209564208984,0.0,15507.367118918653
2950,4.135180950164795,0.0,15303.055109485018
3000,4.160093784332275,0.03125,15218.654870917035
3050,4.121028900146484,0.03125,15628.14166564232
3100,4.193124294281006,0.03125,15896.716478861461
3150,4.144343376159668,0.03125,15535.097042869016
3200,4.189269065856934,0.0,15895.833963763083
3250,4.157127380371094,0.03125,16003.744447858848
3300,4.150440692901611,0.0,15251.403932101082
3350,4.189393043518066,0.03125,15999.496756646888
3400,4.158170223236084,0.0,15932.28969182763
3450,4.1535844802856445,0.0625,15283.356047283929
3500,4.180703639984131,0.0,15926.29317465824
3550,4.182437896728516,0.0625,15521.370441018851
3600,4.202846527099609,0.0,15669.843219770231
3650,4.168171405792236,0.03125,15063.320550076967
3700,4.185225486755371,0.0,15854.465995421659
3750,4.145057201385498,0.03125,15994.000462834252
3800,4.191209316253662,0.0,15870.877355060518
3850,4.166715145111084,0.0,12709.747925752137
3900,4.173314094543457,0.03125,15892.790038699575
3950,4.153113842010498,0.0,15422.448800018541
4000,4.160677433013916,0.03125,15208.691955173104
4050,4.170987129211426,0.0,15675.676747424079
4100,4.149284362792969,0.0,15826.890117777632
4150,4.154439449310303,0.0,15577.581050159059
4200,4.1524152755737305,0.0,15259.741995999879
4250,4.153442859649658,0.0,15878.791244363052
4300,4.154070854187012,0.03125,15603.649418422849
4350,4.153636455535889,0.03125,15744.496971260232
4400,4.1651611328125,0.0,15912.124788053821
4450,4.154915809631348,0.03125,15623.359253782783
4500,4.16738748550415,0.0,15257.66848213626
4550,4.173159599304199,0.03125,15619.16905613897
4600,4.163702487945557,0.0,15419.528099534813
4650,4.171460151672363,0.0,15098.023854882782
4700,4.167715072631836,0.0,16048.579203896932
4750,4.150038242340088,0.0,15261.673716848354
4800,4.165255546569824,0.03125,15684.635658267935
4850,4.159852504730225,0.0,15689.835373911486
4900,4.140655517578125,0.03125,15659.231053528352
4950,4.153859615325928,0.03125,15214.732815418785
5000,4.15204381942749,0.0,16249.586881166777
5050,4.139429092407227,0.0625,15226.268888174713
5100,4.1911396980285645,0.0,15846.576328623829
5150,4.151504993438721,0.0625,15020.826671787292
5200,4.16774320602417,0.0,15731.932089919337
5250,4.149972438812256,0.0,15666.970945590541
5300,4.151345729827881,0.03125,15860.686744502089
5350,4.167117595672607,0.0,15549.544573439258
5400,4.1571946144104,0.0,15151.598922263109
5450,4.174125671386719,0.0,15648.4051927293
5500,4.163659572601318,0.0,15185.945474836282
5550,4.164395332336426,0.0,15964.082983259801
5600,4.163814067840576,0.03125,15651.498805106898
5650,4.176021575927734,0.0,15820.550156965295
5700,4.158748149871826,0.03125,15295.936082411023
5750,4.150168418884277,0.03125,15429.034815767021
5800,4.161988258361816,0.0,15740.407398220661
5850,4.160501956939697,0.0625,15836.635864669604
5900,4.17075252532959,0.0,15372.995032804583
5950,4.144062042236328,0.03125,15844.822511851477
6000,4.1475510597229,0.0,15772.285779578213
6050,4.168505668640137,0.03125,15514.565269799243
6100,4.152965545654297,0.03125,15638.80425460578
6150,4.12930965423584,0.0625,15928.146295818671
6200,4.165866374969482,0.0,15267.302217375936
6250,4.167231559753418,0.03125,15627.587239084045
6300,4.143509387969971,0.03125,15457.959229748922
6350,4.140152454376221,0.03125,15219.032357471573
6400,4.148131370544434,0.03125,15701.75184510112
6450,4.182272434234619,0.0,15306.845542144792
6500,4.155749320983887,0.03125,15654.914604055397
6550,4.149049282073975,0.0,15906.423252684153
6600,4.155970573425293,0.03125,15421.763512656698
6650,4.1643829345703125,0.03125,15787.366655433247
6700,4.161224365234375,0.03125,15876.993607583232
6750,4.164885520935059,0.0,15652.290224986276
6800,4.167327880859375,0.0,15032.077040078688
6850,4.162349700927734,0.0,15496.617353253552
6900,4.179955959320068,0.0,14862.666554254745
6950,4.150527000427246,0.0,15876.502079824922
7000,4.160245418548584,0.03125,16059.763367904034
7050,4.175870418548584,0.0,15779.137808616506
7100,4.154409885406494,0.0,15433.435551085575
7150,4.146928310394287,0.03125,16105.418764575827
7200,4.161301612854004,0.0,16168.21435681269
7250,4.151268005371094,0.0,15826.190286489378
7300,4.140047073364258,0.03125,15067.079029720995
7350,4.150411605834961,0.03125,15685.988971400056
7400,4.153463840484619,0.03125,15965.982004092746
7450,4.170184135437012,0.0,15494.583779327826
7500,4.1569976806640625,0.0,15044.997606923547
7550,4.157062530517578,0.0,15976.100417622845
7600,4.134426116943359,0.03125,15580.025011999713
7650,4.179638385772705,0.0,15137.120826431868
7700,4.188254356384277,0.0,15674.940168026262
7750,4.165704727172852,0.0,15217.536002935414
7800,4.156198024749756,0.0,15869.880427390235
7850,4.172836780548096,0.0,15757.869619676989
7900,4.150607585906982,0.03125,15237.545409114826
7950,4.158095359802246,0.03125,16015.336460367127
8000,4.178105354309082,0.03125,15408.284740706813
8050,4.182310581207275,0.03125,15765.461400112134
8100,4.182765960693359,0.09375,15727.705056589504
8150,4.165881156921387,0.0,15846.05745072403
8200,4.150076866149902,0.0625,15304.486527082847
8250,4.140778541564941,0.09375,15684.31347527312
8300,4.166136264801025,0.0,15257.600729753725
8350,4.170844078063965,0.0,15997.76106888357
8400,4.155519962310791,0.03125,15275.888584668128
8450,4.169469356536865,0.0,15759.156092493995
8500,4.154811859130859,0.03125,15597.416209707713
8550,4.1495161056518555,0.03125,15395.698659835407
8600,4.151034355163574,0.03125,15644.20155144189
8650,4.146071434020996,0.03125,15293.546392592614
8700,4.1506171226501465,0.0,15399.880231278612
8750,4.153235912322998,0.03125,15673.817553950805
8800,4.145967483520508,0.09375,15916.591634526381
8850,4.1534013748168945,0.0,15157.895410934012
8900,4.173394203186035,0.0,15819.457573608059
8950,4.164915084838867,0.0,15945.983386362479
9000,4.156102180480957,0.03125,15547.975488204385
9050,4.161365985870361,0.0,15769.867985476358
9100,4.1621479988098145,0.0,15326.694119010299
9150,4.1519365310668945,0.0,15743.898188474426
9200,4.171456813812256,0.0,15579.466930035709
9250,4.161159992218018,0.0,15775.551702173654
9300,4.174596309661865,0.0,15362.69857221763
9350,4.161388397216797,0.0,15804.947822587366
9400,4.158595561981201,0.0,15292.219109751293
9450,4.163589954376221,0.0,15745.579224368888
9500,4.142938137054443,0.03125,15565.175299210263
9550,4.171842575073242,0.0,15902.153461659813
9600,4.161373615264893,0.03125,15232.931496580755
9650,4.171710968017578,0.0,15896.709124164076
9700,4.1587419509887695,0.03125,15296.508084741923
9750,4.1597113609313965,0.0,15799.904030944988
9800,4.149918079376221,0.0,15236.525108746091
9850,4.155294895172119,0.03125,15320.816803402002
9900,4.172023296356201,0.03125,15536.22797250155
9950,4.161679267883301,0.03125,15484.842610519921
9999,4.163989543914795,0.03125,15212.732133028881
